epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68023,4.10191,44.0897,7.271,0,0,0,0,3.78136,5.70018,3.42259,0,0,0
2,1.87006,4.03405,33.6107,4.91227,0,0,0,0,3.82856,5.71057,3.42012,1.17822e-06,1.17822e-06,1.17822e-06
3,2.06171,5.18238,49.2384,5.24687,0,0,0,0,3.86607,5.7175,3.40746,2.33288e-06,2.33288e-06,2.33288e-06
4,2.24821,4.75562,38.435,4.5329,0,0,0,0,3.89248,5.75948,3.38145,3.46397e-06,3.46397e-06,3.46397e-06
5,2.42983,4.4236,29.3913,5.75105,0,0,0,0,3.85221,5.7567,3.35055,4.5715e-06,4.5715e-06,4.5715e-06
6,2.61159,4.87659,53.6136,4.47226,0,0,0,0,3.78619,5.80659,3.32552,5.65548e-06,5.65548e-06,5.65548e-06
7,2.79227,5.67599,92.8876,6.07203,0,0,0,0,3.76567,5.81559,3.29896,6.71588e-06,6.71588e-06,6.71588e-06
8,2.96475,4.481,56.7541,8.4807,0,0,0,0,3.72844,5.88109,3.24976,7.75273e-06,7.75273e-06,7.75273e-06
9,3.18223,4.46657,44.8378,4.72971,0,0,0,0,3.69785,5.93542,3.24778,8.76602e-06,8.76602e-06,8.76602e-06
10,3.52861,6.05417,78.3065,6.37536,0,0,0,0,3.66945,6.0088,3.23511,9.75574e-06,9.75574e-06,9.75574e-06
11,3.86974,5.09655,96.4899,6.35265,0,0,0,0,3.74,6.01684,3.23479,1.07219e-05,1.07219e-05,1.07219e-05
12,4.21656,3.57528,21.4541,3.71345,0,0,0,0,3.75261,6.0364,3.23173,1.16645e-05,1.16645e-05,1.16645e-05
13,4.56222,4.12439,29.3671,4.21491,0,0,0,0,3.78979,6.07381,3.2833,1.25835e-05,1.25835e-05,1.25835e-05
14,4.91065,4.54831,31.5294,4.64929,0,0,0,0,3.79468,6.0915,3.27843,1.3479e-05,1.3479e-05,1.3479e-05
15,5.26181,4.0855,25.6025,4.35765,0,0,0,0,3.82423,6.12372,3.31328,1.43509e-05,1.43509e-05,1.43509e-05
