epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,171.441,1.97758,1.31615,1.04257,0.71774,0.78729,0.68727,0.23334,2.1359,1.2688,1.04451,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079
2,316.44,1.86645,0.98088,1.01756,0.68006,0.68209,0.64031,0.20576,2.27405,1.37916,1.06525,0.0197945,0.00659815,0.0197945,0.00659815,0.0197945,0.00659815,0.0197945,0.00659815
3,452.337,1.86342,0.97997,1.01687,0.78298,0.85474,0.79472,0.36944,1.77302,1.02396,0.98423,0.0293985,0.00979951,0.0293985,0.00979951,0.0293985,0.00979951,0.0293985,0.00979951
4,585.108,1.80281,0.93535,1.00295,0.7906,0.84689,0.82352,0.40203,1.75867,1.00774,0.98483,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,717.986,1.74071,0.87698,0.98366,0.75023,0.83355,0.78167,0.29334,2.02415,1.09289,1.01809,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,850.272,1.70729,0.85146,0.97774,0.78725,0.8456,0.81987,0.3767,1.81706,0.95988,0.9855,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,982.282,1.66548,0.83076,0.96911,0.83466,0.85767,0.86353,0.44587,1.66508,0.90781,0.95707,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1113.07,1.64198,0.80668,0.96415,0.76671,0.84425,0.8215,0.40935,1.69298,0.92816,0.96123,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1243.61,1.62625,0.78678,0.95836,0.80018,0.84387,0.8392,0.40771,1.72706,0.9455,0.96374,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1374.57,1.61536,0.78214,0.95206,0.80906,0.84886,0.86166,0.43057,1.70831,0.90247,0.96077,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1506.74,1.6045,0.77033,0.95236,0.77888,0.84667,0.83629,0.4249,1.6639,0.9209,0.95433,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1639.09,1.59269,0.76451,0.94935,0.83003,0.8715,0.88706,0.4655,1.62749,0.87157,0.94606,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1770.82,1.58403,0.75347,0.94631,0.84944,0.88492,0.89621,0.47014,1.62087,0.83699,0.94342,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1903.13,1.57318,0.7455,0.94221,0.83732,0.88788,0.89163,0.47851,1.60141,0.83779,0.9419,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2036.41,1.56049,0.73623,0.93719,0.78569,0.86012,0.87259,0.46497,1.61403,0.89421,0.94478,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2169.11,1.55932,0.73073,0.94091,0.83556,0.8678,0.8853,0.46864,1.61197,0.84424,0.94255,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2791.85,1.55571,0.72577,0.93735,0.83525,0.88245,0.89113,0.47749,1.6029,0.83111,0.94152,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2924.67,1.54223,0.71773,0.93628,0.78951,0.878,0.8878,0.47181,1.60069,0.84825,0.94078,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3057.03,1.54097,0.71719,0.93561,0.8258,0.88854,0.89238,0.47406,1.59642,0.82581,0.93887,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3188.91,1.53604,0.71267,0.9299,0.83932,0.86977,0.89327,0.47425,1.60842,0.82266,0.94027,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3321.33,1.52712,0.70672,0.92928,0.85161,0.88907,0.90473,0.48314,1.59381,0.80344,0.93859,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3453.35,1.51485,0.69845,0.92682,0.85092,0.89035,0.90739,0.47865,1.6011,0.80086,0.93789,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5347.24,1.51198,0.6959,0.92649,0.83064,0.87488,0.89219,0.4759,1.60309,0.82736,0.93853,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5479.44,1.51087,0.69322,0.92561,0.81706,0.87389,0.88658,0.47254,1.59408,0.82654,0.93709,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5610.09,1.50685,0.68956,0.92562,0.83279,0.8841,0.89851,0.47487,1.59918,0.81466,0.93834,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5740.88,1.49892,0.68549,0.92548,0.81624,0.88265,0.89053,0.47237,1.59613,0.82643,0.93784,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5871.81,1.49852,0.68152,0.92419,0.83795,0.88031,0.89729,0.47595,1.60204,0.81148,0.93984,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6003.17,1.49545,0.6825,0.921,0.80814,0.88415,0.89018,0.47232,1.60525,0.82624,0.94008,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6135.26,1.49194,0.67749,0.9214,0.8313,0.87718,0.89691,0.47974,1.6003,0.81635,0.93818,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6268.05,1.47356,0.66882,0.91944,0.80619,0.87702,0.8903,0.47951,1.59013,0.8276,0.93558,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6400.23,1.47808,0.67131,0.91877,0.79415,0.88459,0.88381,0.47176,1.59975,0.8252,0.93721,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6532.36,1.48273,0.67311,0.91909,0.79199,0.8785,0.88145,0.46972,1.60475,0.82645,0.93886,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7465.02,1.47682,0.66801,0.92076,0.79645,0.88344,0.88546,0.47186,1.60715,0.82853,0.93973,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7597.37,1.471,0.66386,0.91613,0.80314,0.88212,0.88694,0.47435,1.6092,0.82585,0.94048,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7729.86,1.46815,0.65807,0.91713,0.82326,0.88421,0.8931,0.47536,1.61441,0.81469,0.94108,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7862.61,1.46204,0.65927,0.91386,0.84666,0.87982,0.89843,0.47886,1.61168,0.8011,0.93973,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7995.12,1.45801,0.65265,0.91271,0.84399,0.88607,0.8991,0.47973,1.61028,0.79662,0.93952,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,135.352,1.44579,0.64608,0.91147,0.84573,0.88092,0.89817,0.47844,1.6131,0.79972,0.93992,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,269.836,1.44362,0.64823,0.91163,0.84262,0.88321,0.89781,0.48071,1.60963,0.80104,0.93938,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,404.273,1.44486,0.64803,0.91022,0.85213,0.88673,0.9029,0.48233,1.60994,0.79393,0.9392,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
