epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,456.001,1.86479,1.14356,1.03577,0.76234,0.78543,0.73161,0.23464,2.3171,1.13813,1.17845,0.00999707,0.00333236,0.00999707,0.00333236,0.00999707,0.00333236,0.00999707,0.00333236
2,838.732,1.77484,0.93272,1.01401,0.85927,0.859,0.84555,0.38679,1.83539,0.92212,1.08447,0.0197991,0.0065997,0.0197991,0.0065997,0.0197991,0.0065997,0.0197991,0.0065997
3,1255.7,1.74886,0.91757,1.00971,0.84315,0.86978,0.80908,0.36057,1.83237,0.90739,1.08803,0.0294031,0.00980104,0.0294031,0.00980104,0.0294031,0.00980104,0.0294031,0.00980104
4,1645.59,1.71485,0.88602,0.99988,0.83474,0.85131,0.80027,0.31763,2.03065,0.92688,1.11515,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1994,1.65935,0.8378,0.98408,0.905,0.88725,0.9052,0.45549,1.69626,0.78417,1.0401,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2345.49,1.62586,0.80666,0.97727,0.92212,0.895,0.91512,0.47715,1.63543,0.75185,1.0265,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2696.99,1.60327,0.78231,0.96861,0.92629,0.89514,0.92099,0.48801,1.62277,0.73184,1.02022,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3047.99,1.58947,0.76997,0.96449,0.93484,0.89874,0.92442,0.48572,1.61779,0.71915,1.01588,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3397.6,1.57295,0.75624,0.96251,0.92692,0.89726,0.92264,0.48108,1.62999,0.71634,1.01467,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3781.31,1.5631,0.75042,0.95818,0.93979,0.90076,0.92856,0.49882,1.58631,0.69181,1.00378,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4180.72,1.55402,0.74258,0.95593,0.93756,0.90156,0.9291,0.4886,1.61139,0.69862,1.00867,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4531.13,1.54432,0.73307,0.95356,0.93089,0.89578,0.92615,0.48641,1.60815,0.69362,1.00484,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4875.45,1.53603,0.72466,0.95204,0.93213,0.89564,0.92768,0.48873,1.60429,0.69019,1.00424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5220.76,1.53024,0.72056,0.95061,0.93298,0.89564,0.92807,0.49006,1.60445,0.68559,1.00403,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5564.47,1.52259,0.71355,0.94959,0.93629,0.90022,0.93036,0.49625,1.58986,0.67669,1.00185,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5906.97,1.51815,0.71157,0.94706,0.9353,0.90191,0.9327,0.49817,1.58524,0.67221,1.00021,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6248.58,1.51307,0.70577,0.94565,0.9345,0.9018,0.93221,0.49836,1.58495,0.67183,0.99977,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6593.95,1.50457,0.69927,0.94402,0.93618,0.89936,0.93201,0.49697,1.587,0.67244,0.99976,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6938.91,1.50045,0.69413,0.94224,0.93416,0.89887,0.93201,0.49786,1.58312,0.67219,0.99882,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7280.97,1.50064,0.6936,0.94116,0.93376,0.90003,0.93166,0.49667,1.58669,0.67345,0.99912,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7623.66,1.49336,0.69168,0.93974,0.93315,0.90004,0.93152,0.49484,1.59361,0.67538,1.00011,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
