epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.454,2.74772,2.21009,1.26368,0.33515,0.33158,0.14725,0.0436,3.07496,5.12847,1.41727,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079
2,326.276,2.62215,1.82672,1.22022,0.47678,0.33125,0.22489,0.05563,3.26764,2.95772,1.41687,0.0197945,0.00659815,0.0197945,0.00659815,0.0197945,0.00659815,0.0197945,0.00659815
3,466.473,2.62722,1.8661,1.22721,0.22337,0.31544,0.1598,0.0448,3.06365,3.61022,1.36483,0.0293985,0.00979951,0.0293985,0.00979951,0.0293985,0.00979951,0.0293985,0.00979951
4,603.469,2.58902,1.81074,1.21612,0.50124,0.33454,0.27736,0.08882,3.04119,3.26463,1.3272,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,741.068,2.49001,1.68586,1.17885,0.75498,0.351,0.30601,0.09413,3.30024,3.55771,1.468,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,877.55,2.43006,1.61439,1.16248,0.68226,0.35347,0.32032,0.09691,2.86564,2.95386,1.27479,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1014.86,2.38119,1.57097,1.14934,0.65041,0.32038,0.28411,0.08631,3.11,3.86531,1.37655,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1152.12,2.34179,1.51284,1.13833,0.71736,0.37504,0.34101,0.10503,2.77728,2.89252,1.25623,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1289.25,2.31879,1.48207,1.1296,0.71578,0.38725,0.35265,0.1101,2.87315,3.01722,1.30183,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1425.97,2.30264,1.45984,1.11574,0.6606,0.28811,0.29646,0.10055,2.99749,3.74901,1.33506,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1563.04,2.28362,1.43671,1.11713,0.72647,0.35216,0.32599,0.10281,2.95195,3.47511,1.30933,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1700.07,2.24684,1.41031,1.1074,0.71464,0.35252,0.30602,0.09795,3.16146,3.63122,1.43661,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1837.7,2.24048,1.38674,1.10308,0.62672,0.34705,0.30456,0.09268,2.79466,3.15912,1.27619,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1975.12,2.21819,1.37307,1.09666,0.64921,0.34796,0.25607,0.07873,3.12562,3.94096,1.39157,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2112.44,2.20123,1.34679,1.09104,0.46383,0.34491,0.21206,0.0628,3.10624,3.83085,1.39389,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,137.157,2.18232,1.32929,1.08841,0.65866,0.37265,0.28665,0.08863,3.04606,3.09763,1.38073,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,270.857,2.17577,1.31984,1.08588,0.38701,0.35627,0.24212,0.07645,3.12398,4.37485,1.39928,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,404.631,2.1596,1.31636,1.08079,0.41943,0.292,0.20805,0.06416,3.2084,4.13932,1.46654,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,539.005,2.14524,1.29066,1.07726,0.53978,0.28466,0.26681,0.08278,3.2973,3.81504,1.50068,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,672.381,2.12692,1.27418,1.06995,0.50428,0.32186,0.22547,0.06008,3.269,3.89783,1.46922,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,804.885,2.11494,1.26133,1.06808,0.51563,0.30227,0.25931,0.07652,3.33927,4.17854,1.53815,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,937.622,2.10035,1.25707,1.06692,0.57311,0.33932,0.24906,0.07218,3.27003,3.89758,1.48044,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1071.79,2.08623,1.23812,1.06328,0.71328,0.36165,0.34657,0.10936,3.10164,3.31989,1.39715,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1206.19,2.07045,1.22515,1.05723,0.7332,0.31462,0.30086,0.0901,3.29706,4.76116,1.55233,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1340.98,2.06772,1.22385,1.05019,0.63886,0.37866,0.34457,0.10415,3.03246,3.04079,1.38976,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1475.63,2.05076,1.20714,1.0509,0.52796,0.35133,0.23769,0.06982,3.22048,3.91548,1.48845,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1610.16,2.03078,1.19435,1.04497,0.59876,0.3543,0.27846,0.08377,3.27337,3.89248,1.51448,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1744.74,2.03057,1.18762,1.04528,0.38835,0.3352,0.23246,0.0723,3.30299,5.04255,1.51646,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1877.69,2.01018,1.17761,1.03706,0.58404,0.33915,0.2696,0.08102,3.33287,4.52752,1.54988,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2010.5,1.99384,1.15692,1.0341,0.6416,0.32686,0.25569,0.07636,3.31166,4.68553,1.52045,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2143.32,1.99516,1.16744,1.03593,0.71893,0.32216,0.28928,0.08267,3.36284,4.36984,1.56323,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2277.71,1.99153,1.15397,1.03436,0.48798,0.27873,0.22786,0.06752,3.30887,5.12878,1.54514,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2411.69,1.96519,1.14358,1.02877,0.49659,0.28136,0.21083,0.06043,3.24486,5.42894,1.50816,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2545.76,1.95224,1.13017,1.0252,0.45898,0.31199,0.21688,0.06358,3.1943,5.06924,1.49134,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2679.86,1.9454,1.12161,1.01879,0.44085,0.31281,0.22374,0.06557,3.2179,4.65892,1.49862,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2814.07,1.93977,1.11173,1.01887,0.40622,0.29431,0.20251,0.05917,3.25119,5.02353,1.53087,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2947.74,1.92281,1.09895,1.01529,0.35856,0.27132,0.18332,0.05256,3.28288,5.09951,1.54022,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3080.89,1.90656,1.09352,1.01096,0.40804,0.26634,0.20152,0.05721,3.33408,5.13699,1.56918,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3213.75,1.89258,1.07846,1.00859,0.37608,0.26556,0.18967,0.0539,3.34149,5.52093,1.57393,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3346.97,1.88731,1.0807,1.00723,0.48211,0.26572,0.22836,0.06476,3.37198,5.34072,1.59656,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3481.46,1.87392,1.06717,1.00387,0.56138,0.2812,0.24635,0.06926,3.37869,4.72968,1.59753,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3615.75,1.86174,1.05781,1.00095,0.56881,0.28038,0.24634,0.06922,3.37048,4.63187,1.59689,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
