epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.053,2.41596,2.08478,1.42245,0.18307,0.25089,0.10066,0.02482,2.82906,2.77217,1.56881,0.000666047,0.000666047,0.000666047
2,492.577,2.29253,1.75265,1.34835,0.58211,0.47024,0.47645,0.17501,2.22848,1.83344,1.40007,0.00130633,0.00130633,0.00130633
3,746.747,2.22735,1.64184,1.32667,0.4108,0.3428,0.29318,0.08518,2.44614,2.22514,1.46216,0.0019202,0.0019202,0.0019202
4,1005.95,2.16213,1.53577,1.30283,0.69348,0.54096,0.56087,0.21665,2.19038,1.62609,1.37382,0.0018812,0.0018812,0.0018812
5,1267.44,2.13919,1.49201,1.28818,0.44912,0.43137,0.33905,0.10771,2.39198,1.98764,1.42561,0.0018416,0.0018416,0.0018416
6,1521.06,2.10703,1.42387,1.27908,0.71054,0.5587,0.56207,0.2135,2.1517,1.63513,1.35335,0.001802,0.001802,0.001802
7,1776.04,2.06246,1.37166,1.26312,0.70338,0.59881,0.5988,0.22505,2.07826,1.5635,1.33487,0.0017624,0.0017624,0.0017624
8,2029.83,2.039,1.35245,1.25553,0.71282,0.57738,0.5936,0.22842,2.07779,1.56142,1.32277,0.0017228,0.0017228,0.0017228
9,2285.64,2.01381,1.28789,1.24324,0.74297,0.61257,0.61369,0.24903,2.04795,1.52024,1.31573,0.0016832,0.0016832,0.0016832
10,2537.22,2.01304,1.27045,1.23704,0.7056,0.60178,0.59207,0.24311,2.02825,1.55033,1.31245,0.0016436,0.0016436,0.0016436
11,2794.86,1.97599,1.2444,1.22576,0.70091,0.60997,0.59808,0.24745,2.05397,1.51966,1.32396,0.001604,0.001604,0.001604
