epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.558,2.45074,2.08109,1.49334,0.09471,0.0887,0.029,0.00745,3.97124,10.3799,2.54255,0.000664234,0.000664234,0.000664234
2,148.226,2.34719,1.43171,1.45132,0.05753,0.09796,0.0282,0.00705,3.83292,28.6024,2.28088,0.00130455,0.00130455,0.00130455
3,214.875,2.28294,1.35396,1.41685,0.01931,0.03926,0.00374,0.00074,3.71342,4.76982,1.89333,0.00191846,0.00191846,0.00191846
4,288.613,2.18698,1.31901,1.37428,0.06385,0.08072,0.02227,0.00483,2.88927,7.89654,1.62739,0.0018812,0.0018812,0.0018812
5,357.79,2.19831,1.27014,1.37604,0.13736,0.12997,0.0398,0.0078,3.51628,4.84956,1.9227,0.0018416,0.0018416,0.0018416
6,429.252,2.116,1.23034,1.33278,0.09995,0.09757,0.03411,0.0099,3.30976,5.72632,1.93877,0.001802,0.001802,0.001802
7,502.915,2.06105,1.1873,1.30646,0.09008,0.07135,0.02532,0.00564,3.30346,15.2987,1.76403,0.0017624,0.0017624,0.0017624
8,574.164,2.00249,1.12188,1.27771,0.07009,0.13421,0.02269,0.00607,3.40685,10.0448,1.98084,0.0017228,0.0017228,0.0017228
9,647.819,1.97938,1.11218,1.28538,0.11928,0.13652,0.04183,0.01032,3.15296,11.3709,1.84638,0.0016832,0.0016832,0.0016832
10,718.005,1.95965,1.12498,1.27818,0.1669,0.12264,0.07699,0.01769,3.32716,4.74489,1.8564,0.0016436,0.0016436,0.0016436
11,790.965,1.94188,1.07103,1.25446,0.13937,0.14231,0.04209,0.0102,3.0954,11.8381,1.69063,0.001604,0.001604,0.001604
12,862.554,1.87766,1.03832,1.23798,0.14494,0.16622,0.07606,0.02513,3.10113,6.22468,1.77725,0.0015644,0.0015644,0.0015644
13,933.908,1.88532,1.05855,1.25142,0.11811,0.11878,0.07557,0.02009,3.22665,7.5725,1.79588,0.0015248,0.0015248,0.0015248
14,1006.08,1.86376,1.02539,1.23062,0.18451,0.17432,0.08863,0.02334,3.09489,10.1267,1.77679,0.0014852,0.0014852,0.0014852
15,1076.06,1.82853,1.02371,1.21519,0.26988,0.16082,0.11091,0.03062,2.95834,3.8954,1.63778,0.0014456,0.0014456,0.0014456
16,1149.07,1.83671,1.027,1.22607,0.33836,0.21635,0.18158,0.05541,2.95186,4.06689,1.67885,0.001406,0.001406,0.001406
17,1221.17,1.79379,0.9548,1.19142,0.08837,0.09757,0.04589,0.01064,3.38754,7.48273,1.90074,0.0013664,0.0013664,0.0013664
18,1293.48,1.78575,0.95994,1.19526,0.30655,0.17162,0.11659,0.03385,2.85738,8.05199,1.68169,0.0013268,0.0013268,0.0013268
19,1366.88,1.76038,0.9509,1.19127,0.17886,0.13652,0.08914,0.02731,3.0771,7.56032,1.74827,0.0012872,0.0012872,0.0012872
20,1442.15,1.74946,0.93209,1.17874,0.08796,0.1693,0.02998,0.00801,3.00988,13.3847,1.80158,0.0012476,0.0012476,0.0012476
21,1511.56,1.7276,0.91701,1.17096,0.23765,0.19013,0.08183,0.01872,3.17839,3.73719,1.73498,0.001208,0.001208,0.001208
22,1582.3,1.73431,0.93099,1.1806,0.33577,0.15735,0.12707,0.03426,3.41312,4.13641,1.96876,0.0011684,0.0011684,0.0011684
23,1652.53,1.70425,0.90907,1.16142,0.20462,0.13074,0.07943,0.01982,3.09637,4.21952,1.71965,0.0011288,0.0011288,0.0011288
24,1724.84,1.71215,0.91073,1.16475,0.27203,0.14555,0.07439,0.02025,3.08455,4.03928,1.72056,0.0010892,0.0010892,0.0010892
25,1794.98,1.6573,0.86327,1.14518,0.22759,0.17931,0.10093,0.0252,3.19117,3.61969,1.73499,0.0010496,0.0010496,0.0010496
26,1869.28,1.68496,0.88628,1.1615,0.25548,0.23101,0.12425,0.03624,2.80329,4.66841,1.58752,0.00101,0.00101,0.00101
27,1942.56,1.61846,0.85388,1.13808,0.34577,0.16061,0.1268,0.0358,2.91897,3.79267,1.63929,0.0009704,0.0009704,0.0009704
28,2015.12,1.62761,0.8532,1.14046,0.22867,0.1801,0.1074,0.03191,2.92895,4.38155,1.63506,0.0009308,0.0009308,0.0009308
29,2087.3,1.61911,0.83526,1.11856,0.23287,0.15465,0.11022,0.03466,3.06625,4.5342,1.78203,0.0008912,0.0008912,0.0008912
30,2157.87,1.61716,0.83691,1.13212,0.26844,0.13575,0.09448,0.02291,3.18557,3.89603,1.69609,0.0008516,0.0008516,0.0008516
31,2232.7,1.56132,0.80582,1.1129,0.30783,0.199,0.14307,0.04232,2.84885,6.43459,1.61914,0.000812,0.000812,0.000812
32,2303.52,1.57188,0.79987,1.11716,0.18427,0.19938,0.08157,0.02553,3.08397,4.25126,1.73156,0.0007724,0.0007724,0.0007724
33,2400.78,1.54816,0.7926,1.0981,0.2295,0.22098,0.10403,0.03356,2.97402,6.15382,1.67314,0.0007328,0.0007328,0.0007328
34,2469.85,1.53685,0.78822,1.09497,0.22009,0.17547,0.08018,0.02459,3.09546,3.95387,1.68714,0.0006932,0.0006932,0.0006932
35,2540.93,1.53304,0.78735,1.11153,0.25236,0.18666,0.10644,0.03217,2.95438,4.51086,1.654,0.0006536,0.0006536,0.0006536
36,65.2218,1.53925,0.78414,1.09971,0.27572,0.15503,0.1257,0.03996,3.04495,4.15344,1.71777,0.000614,0.000614,0.000614
37,131.082,1.49063,0.76132,1.08985,0.22688,0.18241,0.10583,0.03527,3.09191,5.48711,1.77683,0.0005744,0.0005744,0.0005744
38,198.697,1.5151,0.76826,1.09876,0.19894,0.1936,0.07231,0.01958,3.10777,7.28763,1.74073,0.0005348,0.0005348,0.0005348
39,267.821,1.44038,0.72817,1.07146,0.21853,0.21327,0.10383,0.03195,2.97241,4.17131,1.661,0.0004952,0.0004952,0.0004952
40,337.197,1.48439,0.74717,1.08367,0.18956,0.1612,0.08527,0.0268,3.09096,4.42313,1.73322,0.0004556,0.0004556,0.0004556
41,406.562,1.44515,0.70431,1.1099,0.18328,0.2071,0.10636,0.0331,3.11322,4.28146,1.72235,0.000416,0.000416,0.000416
42,475.783,1.42013,0.68412,1.09887,0.24187,0.20324,0.10959,0.03027,3.15368,3.94937,1.73927,0.0003764,0.0003764,0.0003764
43,544.836,1.397,0.68081,1.07667,0.1951,0.20093,0.09624,0.02904,3.08612,4.64277,1.7444,0.0003368,0.0003368,0.0003368
44,614.333,1.37596,0.6704,1.08403,0.24316,0.15966,0.11797,0.03521,3.18335,4.30724,1.7969,0.0002972,0.0002972,0.0002972
45,683.369,1.36579,0.65957,1.07543,0.20621,0.16467,0.09369,0.02713,3.1073,4.77535,1.717,0.0002576,0.0002576,0.0002576
46,752.789,1.35581,0.65113,1.06403,0.19065,0.15812,0.09487,0.02871,3.03977,5.20026,1.72663,0.000218,0.000218,0.000218
47,822.433,1.33421,0.64709,1.05887,0.18688,0.17971,0.09038,0.02563,3.10528,4.97568,1.74953,0.0001784,0.0001784,0.0001784
48,892.067,1.30571,0.62685,1.05326,0.22868,0.17277,0.10265,0.03137,3.09405,4.89531,1.76135,0.0001388,0.0001388,0.0001388
49,961.292,1.30724,0.6268,1.05106,0.18941,0.18564,0.10037,0.031,3.05527,4.66852,1.7337,9.92e-05,9.92e-05,9.92e-05
50,1031.05,1.29583,0.62326,1.05275,0.18391,0.20093,0.10724,0.0314,3.09499,4.79906,1.75997,5.96e-05,5.96e-05,5.96e-05
