epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.898,2.40486,1.91631,1.41426,0.44509,0.37504,0.30389,0.09417,2.67551,2.50765,1.55721,0.000666047,0.000666047,0.000666047
2,484.877,2.29384,1.67065,1.35608,0.75981,0.59969,0.63106,0.25258,2.23051,1.52326,1.39323,0.00130633,0.00130633,0.00130633
3,743.727,2.22437,1.61059,1.33276,0.1692,0.23423,0.09363,0.03141,2.88256,3.68509,1.65745,0.0019202,0.0019202,0.0019202
4,999.911,2.17775,1.56459,1.31396,0.74965,0.61868,0.61556,0.24012,2.37321,1.50521,1.43035,0.0018812,0.0018812,0.0018812
5,1252.61,2.14679,1.49898,1.29419,0.55288,0.43444,0.45406,0.16558,2.37188,2.10063,1.42128,0.0018416,0.0018416,0.0018416
6,1500.33,2.11142,1.46789,1.28494,0.70074,0.49756,0.52925,0.21937,2.21146,1.81412,1.36233,0.001802,0.001802,0.001802
7,1747.37,2.07911,1.42144,1.2712,0.78359,0.54521,0.60851,0.24708,2.13644,1.60575,1.35077,0.0017624,0.0017624,0.0017624
8,1994.32,2.07535,1.41145,1.2694,0.78451,0.53974,0.59824,0.25133,2.16893,1.63973,1.35543,0.0017228,0.0017228,0.0017228
9,2241.51,2.04669,1.36743,1.2567,0.7603,0.56588,0.60915,0.236,2.16386,1.62197,1.3571,0.0016832,0.0016832,0.0016832
10,2488.9,2.04343,1.34433,1.24845,0.81179,0.64273,0.67449,0.30703,1.99175,1.42428,1.28362,0.0016436,0.0016436,0.0016436
11,2737.32,2.00456,1.33522,1.23637,0.81949,0.70756,0.69815,0.30375,2.06258,1.30576,1.30865,0.001604,0.001604,0.001604
12,2985.31,1.99543,1.30466,1.23497,0.79882,0.66502,0.697,0.30815,1.9691,1.35115,1.27882,0.0015644,0.0015644,0.0015644
