epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1069.76,1.78111,1.03393,1.04523,0.76202,0.74623,0.71418,0.27021,2.20564,1.13411,1.05417,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263
2,2070.19,1.67846,0.85391,1.01769,0.78137,0.76921,0.74023,0.29094,2.10169,0.99945,1.02807,0.0197999,0.00659997,0.0197999,0.00659997,0.0197999,0.00659997,0.0197999,0.00659997
3,2998.57,1.65743,0.84123,1.01202,0.85189,0.8174,0.8295,0.38604,1.88097,0.91209,0.99248,0.0294039,0.00980131,0.0294039,0.00980131,0.0294039,0.00980131,0.0294039,0.00980131
4,3924.31,1.62368,0.81606,1.00655,0.85918,0.82813,0.84321,0.41284,1.81868,0.86896,0.98111,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4848.16,1.57246,0.77296,0.99354,0.86225,0.83735,0.84902,0.41266,1.81496,0.85268,0.97897,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5770.25,1.54444,0.74699,0.98437,0.86599,0.83781,0.85275,0.42116,1.80246,0.85481,0.97653,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6694.69,1.52824,0.73376,0.97942,0.86671,0.83696,0.85314,0.42207,1.79665,0.86464,0.97577,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7620.04,1.51348,0.72048,0.97577,0.87246,0.83619,0.85684,0.4279,1.78985,0.86486,0.97504,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8546,1.50415,0.71224,0.97234,0.87247,0.83805,0.85869,0.43005,1.78545,0.86578,0.97414,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9464.44,1.49515,0.7063,0.97008,0.87174,0.83865,0.85863,0.43099,1.7846,0.86669,0.97382,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10388,1.48605,0.70092,0.96765,0.87031,0.83875,0.85891,0.43136,1.78532,0.86527,0.97351,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,11311.5,1.48349,0.69893,0.96596,0.87155,0.83888,0.86014,0.43272,1.78408,0.86455,0.97301,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,12233.7,1.47927,0.69271,0.96499,0.87249,0.83648,0.85915,0.43261,1.78565,0.86366,0.97304,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,13153.4,1.4725,0.68863,0.96296,0.87143,0.83505,0.8573,0.43081,1.78755,0.86261,0.973,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,14074.2,1.46968,0.68612,0.96265,0.8728,0.83358,0.85726,0.43091,1.79158,0.86104,0.97307,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,14994.3,1.46572,0.68237,0.9618,0.87517,0.83512,0.85774,0.43113,1.79131,0.85633,0.97219,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,15914.1,1.45709,0.67979,0.95886,0.87647,0.83515,0.85837,0.4324,1.78867,0.85394,0.97171,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,16834.2,1.45519,0.67723,0.95752,0.87535,0.83392,0.85663,0.43113,1.79034,0.85372,0.97156,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,17753.3,1.45227,0.67356,0.95881,0.87422,0.83382,0.85454,0.42951,1.79102,0.85364,0.97198,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,18672.7,1.45239,0.67336,0.95677,0.87728,0.83402,0.85365,0.42912,1.7906,0.84964,0.97195,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
