epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1037.11,2.59584,2.09581,1.31191,0.36647,0.30901,0.184,0.04541,3.06121,2.91683,1.35908,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263,0.00999789,0.00333263
2,2717.7,2.46276,1.84301,1.25629,0.59,0.30222,0.24694,0.06453,3.04209,2.67409,1.37235,0.0196019,0.00653398,0.0196019,0.00653398,0.0196019,0.00653398,0.0196019,0.00653398
3,4077.15,2.4286,1.79827,1.24732,0.43688,0.30095,0.22022,0.05512,3.04447,2.82848,1.35762,0.02881,0.00960333,0.02881,0.00960333,0.02881,0.00960333,0.02881,0.00960333
4,4976.48,2.38263,1.7286,1.23325,0.56609,0.30222,0.24122,0.06133,3.07524,2.81123,1.37975,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5880.54,2.30419,1.61331,1.2094,0.43621,0.28677,0.21717,0.05538,3.09593,3.01766,1.39026,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6784.13,2.25201,1.53723,1.19083,0.52515,0.29139,0.23407,0.05973,3.10269,2.97226,1.39246,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7688.01,2.21775,1.49434,1.1782,0.51903,0.29233,0.2318,0.06015,3.10464,3.01815,1.39623,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8589.9,2.19003,1.46312,1.17255,0.56571,0.29186,0.2378,0.06166,3.11913,2.97754,1.40331,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,9494.11,2.16722,1.43348,1.16282,0.57728,0.29349,0.24085,0.06277,3.12349,2.95471,1.40662,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10394.3,2.14596,1.4049,1.1556,0.59251,0.29199,0.24286,0.06336,3.12825,2.93204,1.40892,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11292.6,2.12436,1.38256,1.15078,0.60028,0.2893,0.24335,0.06391,3.13018,2.91879,1.40951,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,12196.6,2.10857,1.36373,1.14337,0.60051,0.2902,0.24392,0.06454,3.12517,2.91011,1.40573,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,13099.2,2.09478,1.34706,1.13894,0.58648,0.29817,0.24622,0.06542,3.11784,2.90407,1.40087,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,14001.5,2.07579,1.32418,1.13274,0.57787,0.30585,0.24788,0.06588,3.11595,2.89345,1.40026,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,14905.3,2.06027,1.30933,1.12928,0.57269,0.30718,0.24748,0.06617,3.12116,2.92354,1.4055,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,15809.5,2.04732,1.29261,1.12462,0.57561,0.30768,0.24708,0.06608,3.12466,2.92882,1.40982,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,16710.8,2.02883,1.27705,1.11937,0.5749,0.30748,0.24692,0.06586,3.12404,2.92174,1.4123,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,17615.2,2.01274,1.26132,1.11246,0.57086,0.30625,0.24561,0.06563,3.123,2.95347,1.41334,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,18517.1,2.00297,1.24823,1.11057,0.56362,0.30616,0.24406,0.06502,3.12503,2.96278,1.41461,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,19422.3,1.99294,1.23837,1.10701,0.55495,0.31041,0.24517,0.06428,3.13336,2.95805,1.42034,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,20329.4,1.97626,1.22195,1.10148,0.5386,0.31118,0.24126,0.06278,3.1448,2.98407,1.42622,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,21236.8,1.96309,1.21069,1.09893,0.51752,0.30978,0.22964,0.05953,3.15014,3.06432,1.42869,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,22144.2,1.9467,1.19483,1.09235,0.49988,0.30964,0.21811,0.05621,3.16039,3.13768,1.43409,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,23052.2,1.93605,1.18474,1.08885,0.49051,0.30964,0.21444,0.05499,3.1676,3.18282,1.43822,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,23961.8,1.91969,1.16846,1.08515,0.5033,0.30575,0.22277,0.057,3.17115,3.17671,1.441,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,24869.4,1.90468,1.15582,1.07895,0.49022,0.30288,0.2202,0.05648,3.17544,3.20911,1.44391,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,25778.6,1.89093,1.14248,1.07562,0.47688,0.30298,0.21731,0.05549,3.17658,3.23992,1.44582,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,26687.1,1.87832,1.13216,1.07077,0.45935,0.30049,0.20825,0.05304,3.17911,3.29472,1.44836,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,27596,1.85791,1.11551,1.06519,0.4396,0.29809,0.19857,0.05158,3.18453,3.38476,1.45364,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,28500.8,1.84675,1.10576,1.06,0.42834,0.29443,0.19421,0.05019,3.1939,3.42345,1.4602,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
