epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,lr
1,0.441057,0.7938,0.8763,0.37208,0.8284,0.8516,0.00099726
2,0.335535,0.8526,0.93,0.375179,0.8389,0.8405,0.00098908
3,0.284731,0.8796,0.9491,0.330021,0.8556,0.859,0.00097555
4,0.242618,0.8979,0.9628,0.240844,0.9145,0.8911,0.00095682
5,0.21572,0.9112,0.9702,0.329193,0.8982,0.8349,0.00093308
6,0.191121,0.9236,0.9761,0.291496,0.9018,0.8842,0.0009046
7,0.171589,0.932,0.9806,0.285801,0.921,0.8854,0.0008717
8,0.147548,0.944,0.9853,0.26401,0.9164,0.9047,0.00083473
9,0.129221,0.9511,0.9885,0.306331,0.9187,0.8971,0.0007941
10,0.120259,0.956,0.9899,0.298348,0.9152,0.8909,0.00075025
11,0.11139,0.959,0.9912,0.350562,0.9074,0.8801,0.00070366
12,0.094455,0.9662,0.9935,0.334951,0.9173,0.8907,0.00065485
13,0.086207,0.9687,0.9945,0.316374,0.9087,0.9,0.00060435
14,0.076915,0.9723,0.9956,0.423646,0.9223,0.8866,0.00055271
15,0.070213,0.9754,0.9963,0.339446,0.9189,0.8935,0.0005005
16,0.061052,0.9787,0.9971,0.403161,0.9278,0.8989,0.00044829
17,0.055807,0.9805,0.9975,0.505706,0.9231,0.8846,0.00039665
18,0.046756,0.9837,0.9981,0.442975,0.9268,0.8974,0.00034615
19,0.0409,0.986,0.9986,0.477556,0.9303,0.9068,0.00029734
20,0.03842,0.9871,0.9988,0.518336,0.9267,0.8941,0.00025075
21,0.032018,0.9892,0.9991,0.567605,0.9246,0.8766,0.0002069
22,0.029845,0.99,0.9992,0.547393,0.9281,0.8908,0.00016627
23,0.025412,0.9917,0.9994,0.533516,0.9299,0.8898,0.0001293
24,0.020955,0.9927,0.9996,0.633328,0.928,0.8784,9.64e-05
25,0.020193,0.9934,0.9996,0.617416,0.9265,0.874,6.792e-05
26,0.019903,0.9935,0.9996,0.630888,0.9266,0.8773,4.418e-05
27,0.015883,0.9944,0.9998,0.649931,0.9276,0.8772,2.545e-05
28,0.015508,0.9951,0.9997,0.657695,0.9273,0.8763,1.192e-05
29,0.014121,0.9951,0.9998,0.675723,0.9263,0.8731,3.74e-06
30,0.014672,0.9952,0.9998,0.661915,0.9269,0.8755,1e-06
