epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,lr
1,0.370053,0.8346,0.9082,0.417641,0.8223,0.8265,0.00099726
2,0.257546,0.8944,0.9556,0.419616,0.9022,0.8121,0.00098908
3,0.207512,0.9171,0.9708,0.411883,0.8927,0.779,0.00097555
4,0.174703,0.9304,0.9791,0.456721,0.8764,0.7403,0.00095682
5,0.156847,0.9372,0.9829,0.574809,0.8524,0.7039,0.00093308
6,0.137829,0.9467,0.9865,0.533866,0.8876,0.7333,0.0009046
7,0.127195,0.9519,0.9886,0.605043,0.8892,0.6807,0.0008717
8,0.113309,0.9574,0.9906,0.838743,0.8274,0.6479,0.00083473
9,0.105493,0.9606,0.9917,0.596661,0.8799,0.7714,0.0007941
10,0.098176,0.9636,0.9929,0.585241,0.8676,0.7475,0.00075025
11,0.094049,0.9649,0.9934,0.720946,0.8824,0.6427,0.00070366
12,0.08346,0.9683,0.9948,0.517539,0.9092,0.8316,0.00065485
13,0.078701,0.971,0.9952,0.711471,0.8799,0.7182,0.00060435
14,0.075123,0.9722,0.9955,0.66125,0.895,0.7427,0.00055271
15,0.068711,0.9743,0.9964,0.653774,0.8955,0.7885,0.0005005
16,0.063773,0.9769,0.9967,0.777671,0.8697,0.7139,0.00044829
17,0.059051,0.9791,0.9971,0.736352,0.9038,0.756,0.00039665
18,0.053807,0.981,0.9976,0.769523,0.9022,0.7275,0.00034615
19,0.05124,0.982,0.9978,0.806757,0.8973,0.7255,0.00029734
20,0.047476,0.9831,0.9982,0.759405,0.9027,0.7573,0.00025075
21,0.044155,0.9841,0.9983,0.817179,0.8958,0.7356,0.0002069
22,0.043422,0.9842,0.9984,0.962448,0.9076,0.6957,0.00016627
23,0.038448,0.9868,0.9987,0.917991,0.9072,0.7093,0.0001293
24,0.035763,0.9876,0.9988,0.957108,0.9045,0.7133,9.64e-05
25,0.0358,0.9872,0.9989,0.981036,0.9062,0.696,6.792e-05
26,0.033658,0.9883,0.999,0.986468,0.9059,0.7014,4.418e-05
27,0.032423,0.9892,0.999,1.028004,0.9062,0.6852,2.545e-05
28,0.031086,0.9894,0.9991,1.024633,0.9066,0.6857,1.192e-05
29,0.031915,0.9887,0.999,1.029082,0.9069,0.6859,3.74e-06
30,0.031179,0.9893,0.9991,1.025233,0.9072,0.6858,1e-06
