epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,lr
1,0.421252,0.7996,0.8852,0.473325,0.8083,0.7548,0.00099901
2,0.323937,0.8557,0.9341,0.662301,0.7301,0.6648,0.00099606
3,0.268639,0.8836,0.9545,0.437906,0.8331,0.7843,0.00099115
4,0.233224,0.9009,0.9653,0.413034,0.8614,0.7929,0.00098431
5,0.215235,0.9075,0.9703,0.523087,0.8479,0.7084,0.00097555
6,0.192639,0.9171,0.976,0.500488,0.8533,0.777,0.00096492
7,0.173659,0.9276,0.9803,0.433618,0.8756,0.8456,0.00095246
8,0.167091,0.9305,0.9819,0.580237,0.8242,0.7485,0.00093822
9,0.150745,0.9373,0.9851,0.747195,0.8641,0.6812,0.00092224
10,0.145862,0.9399,0.9861,0.51746,0.854,0.7453,0.0009046
11,0.138787,0.9429,0.9873,0.511115,0.878,0.7959,0.00088537
12,0.129482,0.946,0.9889,0.500064,0.8651,0.7698,0.00086462
13,0.125224,0.9487,0.9896,0.547011,0.8419,0.7305,0.00084243
14,0.119858,0.9506,0.9904,0.594021,0.8747,0.7433,0.00081889
15,0.113627,0.9537,0.9913,0.684556,0.8644,0.719,0.0007941
16,0.109676,0.9549,0.9919,0.755367,0.8694,0.7479,0.00076815
17,0.104158,0.9577,0.9926,0.759039,0.8635,0.7143,0.00074114
18,0.099502,0.9592,0.9934,0.680374,0.8798,0.7461,0.00071318
19,0.097414,0.9588,0.9937,0.630192,0.8794,0.787,0.00068438
20,0.093166,0.9614,0.9941,0.641642,0.876,0.7465,0.00065485
21,0.086788,0.9647,0.9948,0.741742,0.8606,0.6975,0.00062472
22,0.085902,0.9641,0.995,0.642709,0.892,0.7897,0.0005941
23,0.079256,0.9675,0.9956,0.67047,0.8886,0.7954,0.0005631
24,0.078243,0.967,0.9958,0.642052,0.8895,0.8186,0.00053186
25,0.077623,0.9679,0.9957,0.69771,0.8905,0.8037,0.0005005
26,0.073437,0.9692,0.9962,0.807974,0.8813,0.7567,0.00046914
27,0.070181,0.9705,0.9965,0.697382,0.879,0.7844,0.0004379
28,0.0665,0.9721,0.9969,0.819179,0.8871,0.7407,0.0004069
29,0.06381,0.9729,0.9971,0.795059,0.8888,0.7573,0.00037628
30,0.062534,0.9736,0.9973,0.857706,0.8951,0.7538,0.00034615
31,0.061985,0.9733,0.9973,0.768132,0.8989,0.8046,0.00031662
32,0.058692,0.9749,0.9975,0.660385,0.9002,0.834,0.00028782
33,0.055114,0.9764,0.9978,0.865383,0.8909,0.7754,0.00025986
34,0.054335,0.9763,0.9979,0.768744,0.894,0.7889,0.00023285
35,0.052572,0.9777,0.998,0.790236,0.8958,0.7889,0.0002069
36,0.051969,0.9771,0.998,0.890994,0.8928,0.7541,0.00018211
37,0.049106,0.978,0.9982,0.947923,0.8943,0.7484,0.00015857
38,0.049749,0.9775,0.9982,1.003062,0.892,0.7371,0.00013638
39,0.047795,0.9791,0.9983,0.935415,0.8964,0.7584,0.00011563
40,0.046911,0.979,0.9983,0.962668,0.8981,0.7629,9.64e-05
41,0.045132,0.98,0.9985,0.947009,0.8975,0.7701,7.876e-05
42,0.043149,0.9807,0.9986,0.917699,0.8969,0.778,6.278e-05
43,0.042902,0.9808,0.9986,0.957723,0.8978,0.7709,4.854e-05
44,0.042583,0.9814,0.9986,1.001092,0.8995,0.7631,3.608e-05
45,0.043277,0.9803,0.9986,0.975656,0.8994,0.7745,2.545e-05
46,0.042082,0.9805,0.9987,1.003287,0.8994,0.7731,1.669e-05
47,0.040923,0.9815,0.9987,0.986901,0.8985,0.7736,9.85e-06
48,0.043056,0.9803,0.9986,0.993644,0.8985,0.771,4.94e-06
49,0.040708,0.9821,0.9987,0.989734,0.8983,0.7711,1.99e-06
50,0.04114,0.9817,0.9987,1.000418,0.8985,0.7698,1e-06
