epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,lr
1,0.47656,0.7763,0.854,0.705871,0.6131,0.8118,0.00099901
2,0.374802,0.8348,0.913,0.511315,0.7739,0.8308,0.00099606
3,0.325216,0.8603,0.9349,0.409337,0.8212,0.887,0.00099115
4,0.288622,0.8797,0.9485,0.391466,0.84,0.8783,0.00098431
5,0.262222,0.8908,0.9572,0.453358,0.7943,0.8278,0.00097555
6,0.235074,0.9046,0.9653,0.374944,0.8317,0.8798,0.00096492
7,0.207806,0.9167,0.9728,0.384301,0.8527,0.8809,0.00095246
8,0.188554,0.9253,0.9772,0.411695,0.837,0.8594,0.00093822
9,0.176301,0.9316,0.9799,0.371085,0.8619,0.8577,0.00092224
10,0.159195,0.9384,0.9834,0.426996,0.8332,0.8778,0.0009046
11,0.152249,0.9414,0.9848,0.327442,0.8877,0.875,0.00088537
12,0.137134,0.9481,0.9873,0.333981,0.8904,0.8806,0.00086462
13,0.125599,0.9529,0.9893,0.446699,0.8623,0.8599,0.00084243
14,0.119165,0.9553,0.9904,0.389122,0.875,0.8606,0.00081889
15,0.111194,0.959,0.9915,0.461956,0.8584,0.853,0.0007941
16,0.103036,0.9621,0.9927,0.480864,0.8513,0.8532,0.00076815
17,0.09389,0.9657,0.9938,0.452976,0.87,0.8494,0.00074114
18,0.090799,0.9679,0.9941,0.339361,0.9012,0.8964,0.00071318
19,0.084506,0.9696,0.9948,0.455128,0.8774,0.8637,0.00068438
20,0.078884,0.9719,0.9955,0.40383,0.9042,0.8795,0.00065485
21,0.069575,0.9751,0.9965,0.37739,0.9026,0.9026,0.00062472
22,0.06693,0.9759,0.9967,0.472507,0.8925,0.8716,0.0005941
23,0.059435,0.9788,0.9974,0.486553,0.8838,0.8459,0.0005631
24,0.057276,0.9804,0.9975,0.391574,0.9083,0.8914,0.00053186
25,0.054811,0.9807,0.9977,0.420441,0.8908,0.87,0.0005005
26,0.04904,0.9824,0.9982,0.517988,0.8895,0.8465,0.00046914
27,0.046363,0.9845,0.9983,0.489151,0.8988,0.865,0.0004379
28,0.04231,0.9858,0.9986,0.528436,0.9046,0.8692,0.0004069
29,0.039098,0.9865,0.9988,0.535329,0.9004,0.8503,0.00037628
30,0.036585,0.987,0.999,0.52121,0.8878,0.8619,0.00034615
31,0.032478,0.9892,0.9992,0.512149,0.9065,0.8635,0.00031662
32,0.029196,0.9902,0.9993,0.606884,0.8952,0.8564,0.00028782
33,0.027216,0.9909,0.9994,0.537185,0.9018,0.87,0.00025986
34,0.025308,0.9912,0.9995,0.506896,0.9086,0.8702,0.00023285
35,0.022122,0.9925,0.9996,0.570924,0.9055,0.8619,0.0002069
36,0.020111,0.993,0.9997,0.615306,0.9009,0.8674,0.00018211
37,0.019161,0.9932,0.9997,0.584317,0.906,0.8714,0.00015857
38,0.01708,0.9941,0.9998,0.606586,0.9052,0.8778,0.00013638
39,0.016921,0.9944,0.9998,0.619711,0.908,0.8686,0.00011563
40,0.013456,0.9957,0.9998,0.624114,0.906,0.8683,9.64e-05
41,0.012647,0.9956,0.9999,0.709442,0.9009,0.8645,7.876e-05
42,0.013004,0.9956,0.9998,0.710606,0.9027,0.8586,6.278e-05
43,0.010465,0.9964,0.9999,0.696622,0.9039,0.8607,4.854e-05
44,0.010679,0.9964,0.9999,0.713496,0.9012,0.8566,3.608e-05
45,0.009755,0.9967,0.9999,0.71286,0.9047,0.8631,2.545e-05
46,0.009539,0.9968,0.9999,0.728304,0.9026,0.8546,1.669e-05
47,0.009332,0.9969,0.9999,0.732215,0.9027,0.855,9.85e-06
48,0.008881,0.9972,0.9999,0.7259,0.9027,0.8583,4.94e-06
49,0.00956,0.9968,0.9999,0.727437,0.9039,0.8579,1.99e-06
50,0.009576,0.9971,0.9999,0.732544,0.9039,0.8574,1e-06
