epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19151,0,230.722,0,0,0,0,0,0,nan,0,0.000659259,0.000659259,0.000659259
2,9.44479,0,1.05298,0,0,0,0,0,0,0,0,0.0013128,0.0013128,0.0013128
3,13.3805,0,0,0,0,0,0,0,0,0,0,0.00195314,0.00195314,0.00195314
4,17.233,0,0,0,0,0,0,0,0,0,0,0.0019406,0.0019406,0.0019406
5,21.1759,0,0,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
6,25.0712,0,0,0,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
7,28.9772,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
8,32.8952,0,0,0,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,36.7881,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,40.6899,0,0,0,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,44.5869,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,48.5149,0,0,0,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,52.4134,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,56.3167,0,0,0,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,60.2796,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,64.2167,0,0,0,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,68.1756,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,72.191,0,0,0,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,76.268,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,80.3616,0,0,0,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,84.3464,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,88.299,0,0,0,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,92.2683,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,96.2331,0,0,0,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,100.154,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,104.085,0,0,0,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,108.018,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,111.942,0,0,0,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,115.858,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,119.773,0,0,0,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,123.709,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,127.638,0,0,0,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,131.605,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,135.54,0,0,0,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,139.498,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,143.393,0,0,0,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,147.358,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,151.33,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,155.284,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,159.218,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,163.171,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,167.072,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,171.029,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,174.952,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,178.871,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,182.766,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,186.745,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,190.703,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,194.619,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,198.55,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,202.501,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,206.408,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,210.325,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,214.235,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,218.19,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,222.109,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,226.023,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,229.958,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,233.885,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,237.841,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,241.783,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,245.713,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,249.63,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,253.551,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,257.496,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,261.45,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,265.462,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,269.349,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,273.277,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,277.172,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,281.081,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,284.985,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,288.89,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,292.778,0,0,0,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,296.687,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,300.629,0,0,0,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,304.544,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,308.462,0,0,0,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,312.518,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,316.418,0,0,0,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,320.335,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,324.243,0,0,0,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,328.181,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,332.066,0,0,0,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,335.972,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,339.891,0,0,0,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,343.841,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,347.754,0,0,0,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,351.665,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,355.594,0,0,0,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,360.142,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,364.095,0,0,0,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,367.989,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,371.867,0,0,0,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,375.76,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,379.623,0,0,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,383.504,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,387.427,0,0,0,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,391.306,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,395.184,0,0,0,0,0,0,0,0,0,0,3.98e-05,3.98e-05,3.98e-05
