epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98021,2.65372,21.1316,1.43426,0.00028,0.71154,0.00096,0.00022,0.6287,14.3527,0.34153,0.000654762,0.000654762,0.000654762
2,10.2683,2.30603,2.07547,1.38407,0.0011,0.23077,0.00071,0.00016,0.93584,nan,0.78672,0.00130835,0.00130835,0.00130835
3,13.3926,2.36643,1.72888,1.33532,0.16656,0.24218,0.22617,0.0633,0.67623,50.6736,0.37345,0.00194873,0.00194873,0.00194873
4,16.4822,2.21493,1.58352,1.32143,0.36199,0.67308,0.43224,0.14534,0.60171,34.0206,0.34249,0.0019406,0.0019406,0.0019406
5,19.5565,2.06723,1.49875,1.29061,0.50495,0.78846,0.54563,0.19996,0.60499,1.77431,0.34695,0.0019208,0.0019208,0.0019208
6,22.6882,2.09916,1.3949,1.26455,0.46416,0.82692,0.49201,0.19163,0.53971,36.9021,0.31552,0.001901,0.001901,0.001901
7,25.6921,2.01717,1.39859,1.26343,0.5245,0.65764,0.52195,0.18436,0.61681,2.54657,0.34737,0.0018812,0.0018812,0.0018812
8,28.8355,2.07601,1.40358,1.2488,0.52436,0.80769,0.52347,0.19852,0.57591,15.7572,0.33091,0.0018614,0.0018614,0.0018614
9,32.0016,2.00361,1.37537,1.25403,0.46458,0.82692,0.57042,0.21135,0.57787,13.5753,0.32962,0.0018416,0.0018416,0.0018416
10,35.1473,1.94684,1.31574,1.22029,0.59233,0.90385,0.63888,0.26436,0.57533,1.89738,0.33418,0.0018218,0.0018218,0.0018218
11,38.314,1.98464,1.34435,1.19454,0.59864,0.90385,0.63664,0.3055,0.57094,8.57435,0.32779,0.001802,0.001802,0.001802
12,41.5188,1.96863,1.34327,1.20777,0.49216,0.82692,0.52826,0.19144,0.60701,130.876,0.34633,0.0017822,0.0017822,0.0017822
13,44.6517,1.94546,1.3469,1.21702,0.53151,0.86538,0.62022,0.19452,0.6382,8.88717,0.35262,0.0017624,0.0017624,0.0017624
14,47.7632,1.88355,1.25321,1.24339,0.55693,0.84605,0.59358,0.19758,0.57093,4.76032,0.33223,0.0017426,0.0017426,0.0017426
15,50.9443,1.90314,1.2516,1.19444,0.49879,0.75,0.47832,0.18776,0.60393,27.503,0.33874,0.0017228,0.0017228,0.0017228
16,53.9994,1.85628,1.22895,1.16214,0.52539,0.76923,0.56643,0.2371,0.63016,5.43363,0.34278,0.001703,0.001703,0.001703
17,57.1865,1.78415,1.1919,1.14962,0.57669,0.90385,0.64984,0.30021,0.52778,22.6281,0.31208,0.0016832,0.0016832,0.0016832
18,60.3369,1.8181,1.2107,1.17394,0.60615,0.86538,0.63708,0.28374,0.55598,3.33462,0.32701,0.0016634,0.0016634,0.0016634
19,63.5,1.82347,1.2289,1.1595,0.38886,0.67308,0.44209,0.12072,0.67241,12.5763,0.35464,0.0016436,0.0016436,0.0016436
20,66.6404,1.84214,1.22676,1.17323,0.5519,0.84615,0.58458,0.21424,0.60679,1.07885,0.32799,0.0016238,0.0016238,0.0016238
21,69.7555,1.85711,1.26378,1.16729,0.55523,0.84615,0.63895,0.26486,0.56737,2.90066,0.32695,0.001604,0.001604,0.001604
22,72.9032,1.74054,1.21837,1.1442,0.36642,0.73077,0.32174,0.12355,0.56307,7.67878,0.31328,0.0015842,0.0015842,0.0015842
23,76.0272,1.74609,1.28736,1.15493,0.5682,0.88572,0.63873,0.27594,0.52063,5.83627,0.3056,0.0015644,0.0015644,0.0015644
24,79.1309,1.79574,1.23249,1.15131,0.51187,0.82692,0.52718,0.25102,0.52709,12.2503,0.31036,0.0015446,0.0015446,0.0015446
25,82.2305,1.67155,1.1753,1.12252,0.55782,0.88462,0.57574,0.24619,0.56018,5.7055,0.32156,0.0015248,0.0015248,0.0015248
26,85.377,1.68951,1.2295,1.12914,0.56011,0.86538,0.56584,0.22671,0.58533,3.5214,0.32467,0.001505,0.001505,0.001505
27,88.5717,1.69285,1.23938,1.11872,0.59434,0.88462,0.66115,0.25042,0.5991,19.8685,0.33048,0.0014852,0.0014852,0.0014852
28,91.7212,1.74138,1.20734,1.12865,0.5661,0.88462,0.60955,0.26254,0.57366,2.22928,0.3264,0.0014654,0.0014654,0.0014654
29,94.8709,1.71794,1.17682,1.10676,0.6263,0.92308,0.63434,0.28094,0.57846,1.81792,0.33067,0.0014456,0.0014456,0.0014456
30,98.0102,1.63107,1.14396,1.11506,0.61198,0.88462,0.63493,0.2796,0.58079,2.50046,0.32701,0.0014258,0.0014258,0.0014258
31,101.205,1.713,1.14472,1.10856,0.55169,0.88462,0.56212,0.22654,0.6208,2.05426,0.33826,0.001406,0.001406,0.001406
