epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91584,2.05578,1.49312,1.2977,0.51768,0.7,0.60439,0.25962,0.68515,1.60405,0.39379,0.000654762,0.000654762,0.000654762
2,10.078,2.01477,1.41945,1.2598,0.58122,0.77328,0.64261,0.30173,0.67027,0.74678,0.39437,0.00130835,0.00130835,0.00130835
3,13.2318,2.07113,1.51716,1.26751,0.5728,0.7,0.62666,0.25862,0.71394,1.52879,0.40738,0.00194873,0.00194873,0.00194873
4,16.3363,2.06476,1.46649,1.23751,0.62492,0.9,0.71962,0.30353,0.70069,0.73046,0.3932,0.0019406,0.0019406,0.0019406
5,19.5042,2.04642,1.49167,1.27813,0.58165,0.82857,0.64618,0.25458,0.71347,2.41854,0.40279,0.0019208,0.0019208,0.0019208
6,22.615,2.0504,1.47076,1.24878,0.47712,0.72857,0.55973,0.2306,0.73487,0.65336,0.4107,0.001901,0.001901,0.001901
7,25.7244,2.029,1.50587,1.25434,0.36803,0.59069,0.35156,0.11719,0.90855,1.22682,0.45547,0.0018812,0.0018812,0.0018812
8,28.8502,2.0729,1.53552,1.2687,0.60366,0.87143,0.682,0.27596,0.66698,2.42639,0.39574,0.0018614,0.0018614,0.0018614
9,31.9468,1.95832,1.48406,1.23264,0.65044,0.82407,0.72093,0.29391,0.69833,0.62469,0.40612,0.0018416,0.0018416,0.0018416
10,35.0545,2.06959,1.49707,1.24406,0.5197,0.85714,0.61257,0.19885,0.79911,0.65247,0.4327,0.0018218,0.0018218,0.0018218
11,38.1135,2.05604,1.49651,1.27358,0.53238,0.84286,0.60235,0.23134,0.73803,0.68312,0.41409,0.001802,0.001802,0.001802
12,41.2653,2.00773,1.49087,1.25106,0.65013,0.74286,0.70367,0.25445,0.79464,0.93108,0.43702,0.0017822,0.0017822,0.0017822
13,44.3752,2.03975,1.43462,1.26393,0.57948,0.86622,0.67472,0.28828,0.72264,0.80863,0.40392,0.0017624,0.0017624,0.0017624
14,47.4569,1.94004,1.47572,1.21534,0.61717,0.82857,0.61239,0.24781,0.67371,0.64169,0.38692,0.0017426,0.0017426,0.0017426
15,50.5899,1.90435,1.44541,1.2159,0.62346,0.85156,0.65486,0.24862,0.71106,0.56343,0.40692,0.0017228,0.0017228,0.0017228
16,53.7593,1.89373,1.39893,1.18123,0.51074,0.86497,0.56178,0.21632,0.67981,2.18991,0.3911,0.001703,0.001703,0.001703
17,56.8893,1.91112,1.38961,1.19062,0.53673,0.87143,0.60517,0.20493,0.7548,0.8041,0.40972,0.0016832,0.0016832,0.0016832
18,59.977,1.94421,1.36687,1.20639,0.64612,0.81429,0.68487,0.28644,0.66969,0.6213,0.39704,0.0016634,0.0016634,0.0016634
19,63.1416,1.92103,1.35208,1.17161,0.65896,0.66252,0.64462,0.28237,0.70758,1.06951,0.41653,0.0016436,0.0016436,0.0016436
20,66.2955,1.87196,1.33064,1.18172,0.60721,0.84286,0.66037,0.26084,0.71119,0.60567,0.40964,0.0016238,0.0016238,0.0016238
21,69.463,1.86178,1.36798,1.16624,0.5717,0.7,0.58298,0.24473,0.7384,0.81111,0.42593,0.001604,0.001604,0.001604
22,72.5889,1.8413,1.2818,1.17562,0.61093,0.82857,0.63937,0.26123,0.71535,0.77616,0.4133,0.0015842,0.0015842,0.0015842
23,75.704,1.80398,1.25232,1.17504,0.60453,0.76435,0.65126,0.25277,0.68651,1.49003,0.39904,0.0015644,0.0015644,0.0015644
24,78.8249,1.82446,1.3025,1.16838,0.53065,0.71069,0.5536,0.21413,0.75329,0.55475,0.42582,0.0015446,0.0015446,0.0015446
