epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58574,3.3541,37.0516,1.71074,0.00015,0.06557,1e-05,0,nan,nan,nan,0.000659259,0.000659259,0.000659259
2,13.1767,3.00467,2.74439,1.51462,0.10713,0.11475,0.06299,0.01361,3.35936,3.02378,2.10253,0.0013128,0.0013128,0.0013128
3,17.7246,3.07573,2.5724,1.55052,0.04149,0.63934,0.0541,0.0142,3.10991,2.61687,2.16307,0.00195314,0.00195314,0.00195314
4,22.3607,3.01799,2.49286,1.49139,0.00575,0.85246,0.00711,0.00207,3.05757,133.66,1.81165,0.0019406,0.0019406,0.0019406
5,26.8391,2.90803,2.32754,1.47335,0.18417,0.57377,0.20821,0.05594,2.85262,2.24768,1.64116,0.0019208,0.0019208,0.0019208
6,31.3623,2.78843,2.18771,1.42462,0.13816,0.5082,0.13766,0.03501,2.99002,1.89563,1.79788,0.001901,0.001901,0.001901
7,35.8181,2.71558,2.1492,1.42669,0.06857,0.31967,0.04174,0.01022,3.12881,3.15466,1.77435,0.0018812,0.0018812,0.0018812
8,40.3528,2.74888,2.10485,1.42708,0.16988,0.64754,0.21729,0.05391,2.74034,1.95136,1.59807,0.0018614,0.0018614,0.0018614
9,44.8643,2.73859,2.08315,1.41599,0.13258,0.61475,0.12717,0.03288,2.96654,1.95461,1.76229,0.0018416,0.0018416,0.0018416
10,49.4993,2.57009,1.99059,1.35945,0.16031,0.56557,0.1413,0.03313,2.87996,2.01854,1.67375,0.0018218,0.0018218,0.0018218
11,54.0591,2.56127,1.99492,1.34502,0.1958,0.71311,0.2018,0.05755,2.70384,1.84001,1.61328,0.001802,0.001802,0.001802
12,58.6205,2.57753,1.98171,1.37091,0.27855,0.5,0.21806,0.05445,2.94527,1.83834,1.73985,0.0017822,0.0017822,0.0017822
13,63.2365,2.55859,1.84209,1.35106,0.24927,0.55738,0.24347,0.05022,2.91677,1.81874,1.68706,0.0017624,0.0017624,0.0017624
14,67.7698,2.50783,1.86508,1.32762,0.22454,0.54918,0.16535,0.03478,3.15299,1.88275,1.82131,0.0017426,0.0017426,0.0017426
15,72.3265,2.52801,1.89624,1.3378,0.17212,0.61475,0.17797,0.04023,2.90815,2.03325,1.69728,0.0017228,0.0017228,0.0017228
16,76.8107,2.47331,1.79272,1.31676,0.27921,0.4918,0.25519,0.07092,2.89731,2.31331,1.71451,0.001703,0.001703,0.001703
17,81.4012,2.43586,1.88755,1.28182,0.1624,0.47541,0.13731,0.03064,3.03536,2.25991,1.76898,0.0016832,0.0016832,0.0016832
18,85.9055,2.40802,1.8499,1.25969,0.24313,0.62295,0.21963,0.05892,2.78849,1.80785,1.6211,0.0016634,0.0016634,0.0016634
19,90.4628,2.4363,1.86601,1.29287,0.24453,0.5082,0.20074,0.04542,3.11234,1.8792,1.84387,0.0016436,0.0016436,0.0016436
20,94.9659,2.41289,1.78632,1.2954,0.33011,0.68033,0.34155,0.10745,2.49059,1.73174,1.53311,0.0016238,0.0016238,0.0016238
21,99.5065,2.36442,1.7566,1.29547,0.24509,0.59016,0.24042,0.0628,2.84708,1.74691,1.6851,0.001604,0.001604,0.001604
22,104.012,2.29991,1.72068,1.24665,0.30767,0.68033,0.28045,0.07301,2.80229,1.80287,1.70275,0.0015842,0.0015842,0.0015842
23,108.498,2.29508,1.73203,1.26397,0.22319,0.5082,0.1987,0.0424,3.20989,1.79637,1.86114,0.0015644,0.0015644,0.0015644
24,113.134,2.19529,1.61283,1.23582,0.22666,0.66393,0.18806,0.05031,2.93354,1.86116,1.73065,0.0015446,0.0015446,0.0015446
25,117.657,2.28339,1.74639,1.23679,0.22664,0.47541,0.1812,0.04276,3.15561,1.85542,1.90744,0.0015248,0.0015248,0.0015248
26,122.22,2.24317,1.63932,1.24992,0.32017,0.60656,0.28417,0.08018,2.69993,1.65503,1.67246,0.001505,0.001505,0.001505
27,126.768,2.25268,1.59722,1.26915,0.33342,0.62295,0.34638,0.0984,2.69544,1.59001,1.6583,0.0014852,0.0014852,0.0014852
28,131.283,2.23956,1.66994,1.21284,0.24741,0.42623,0.22519,0.05132,2.93411,1.82795,1.80382,0.0014654,0.0014654,0.0014654
29,135.803,2.21682,1.66199,1.21959,0.28089,0.58197,0.26784,0.0664,2.76828,1.74237,1.73777,0.0014456,0.0014456,0.0014456
30,140.404,2.14717,1.59469,1.22762,0.24185,0.54098,0.21525,0.04515,3.0146,1.79638,1.87319,0.0014258,0.0014258,0.0014258
31,144.973,2.18015,1.65654,1.20754,0.28042,0.58197,0.29702,0.07216,2.81573,1.9729,1.80373,0.001406,0.001406,0.001406
32,149.516,2.2049,1.54829,1.22562,0.30598,0.68033,0.34752,0.08616,2.86104,1.67931,1.71715,0.0013862,0.0013862,0.0013862
33,154.025,2.12368,1.57074,1.18266,0.34303,0.60656,0.31323,0.0771,2.74419,1.75055,1.71338,0.0013664,0.0013664,0.0013664
34,158.529,2.06999,1.56915,1.15177,0.36796,0.57377,0.32639,0.07537,2.89815,1.76149,1.81532,0.0013466,0.0013466,0.0013466
35,163.097,2.02261,1.54808,1.1826,0.27854,0.54098,0.26271,0.07448,2.91565,1.82114,1.82086,0.0013268,0.0013268,0.0013268
36,167.656,2.04936,1.49362,1.19011,0.3897,0.52459,0.31697,0.0834,2.75113,1.83467,1.71895,0.001307,0.001307,0.001307
37,172.305,2.1036,1.56988,1.19759,0.36614,0.4918,0.33077,0.09081,2.75233,1.68978,1.82277,0.0012872,0.0012872,0.0012872
38,176.871,2.08594,1.53591,1.17887,0.33409,0.53279,0.28437,0.07061,2.82653,1.7745,1.79026,0.0012674,0.0012674,0.0012674
39,181.483,2.08098,1.54591,1.17082,0.48189,0.62295,0.48267,0.13432,2.54259,1.51853,1.58006,0.0012476,0.0012476,0.0012476
40,186.114,2.02197,1.51595,1.15366,0.35015,0.51639,0.29181,0.07047,2.81305,1.71834,1.75195,0.0012278,0.0012278,0.0012278
41,190.763,2.00399,1.44516,1.15562,0.39852,0.52459,0.3556,0.08789,2.83626,1.64599,1.80363,0.001208,0.001208,0.001208
42,195.338,1.99783,1.45771,1.16364,0.4246,0.63934,0.39817,0.10642,2.62773,1.6422,1.63433,0.0011882,0.0011882,0.0011882
43,199.881,1.91106,1.47778,1.10103,0.39955,0.65574,0.4165,0.10618,2.70675,1.59729,1.68838,0.0011684,0.0011684,0.0011684
44,204.461,1.95653,1.49149,1.12486,0.32377,0.59836,0.29766,0.06803,2.82224,1.72014,1.71659,0.0011486,0.0011486,0.0011486
45,209.136,2.00836,1.4675,1.18021,0.43711,0.62295,0.42158,0.12377,2.60367,1.73836,1.69465,0.0011288,0.0011288,0.0011288
46,213.751,1.95975,1.4122,1.1432,0.5154,0.62295,0.47569,0.14845,2.49293,1.57197,1.51517,0.001109,0.001109,0.001109
47,218.365,1.94518,1.36532,1.13474,0.4219,0.58026,0.35455,0.08206,2.73203,1.80878,1.72307,0.0010892,0.0010892,0.0010892
48,222.921,1.96034,1.4379,1.14699,0.44776,0.59836,0.42914,0.08765,2.81826,1.6938,1.77724,0.0010694,0.0010694,0.0010694
49,227.471,1.87484,1.33901,1.13263,0.48898,0.68033,0.41858,0.1122,2.61354,1.63196,1.6202,0.0010496,0.0010496,0.0010496
50,231.989,1.9677,1.41727,1.15077,0.42292,0.62295,0.39472,0.09661,2.71808,1.59949,1.72775,0.0010298,0.0010298,0.0010298
51,236.547,1.92509,1.32475,1.12555,0.3904,0.57377,0.35551,0.08359,2.90149,1.68587,1.85354,0.00101,0.00101,0.00101
52,241.129,1.95166,1.45026,1.1534,0.48105,0.68033,0.40134,0.1081,2.6108,1.57039,1.68922,0.0009902,0.0009902,0.0009902
53,245.688,1.91188,1.35584,1.11895,0.41956,0.60656,0.38026,0.08504,2.76569,1.59393,1.79836,0.0009704,0.0009704,0.0009704
54,250.201,1.86393,1.34762,1.11575,0.39631,0.59016,0.32038,0.08101,2.85514,1.69056,1.78078,0.0009506,0.0009506,0.0009506
55,254.758,1.84931,1.33857,1.12237,0.49572,0.66074,0.42001,0.10996,2.67237,1.59237,1.69,0.0009308,0.0009308,0.0009308
56,259.314,1.81909,1.31341,1.10234,0.49774,0.61475,0.44162,0.10179,2.75266,1.61866,1.76365,0.000911,0.000911,0.000911
57,263.855,1.8189,1.32743,1.09512,0.48535,0.63387,0.44198,0.11405,2.77447,1.55385,1.8059,0.0008912,0.0008912,0.0008912
58,268.42,1.87468,1.35964,1.11515,0.46108,0.60656,0.44899,0.12464,2.61159,1.57105,1.64658,0.0008714,0.0008714,0.0008714
59,272.966,1.82645,1.4252,1.11041,0.40235,0.54098,0.34818,0.08232,2.81922,1.80574,1.8315,0.0008516,0.0008516,0.0008516
60,277.583,1.84274,1.30059,1.09216,0.41596,0.60656,0.38228,0.09411,2.81501,1.56582,1.81181,0.0008318,0.0008318,0.0008318
61,282.106,1.81442,1.34246,1.09733,0.51476,0.63934,0.45005,0.09904,2.74194,1.66826,1.6814,0.000812,0.000812,0.000812
62,286.625,1.79006,1.27558,1.10244,0.50042,0.63934,0.42563,0.11028,2.73342,1.58039,1.74974,0.0007922,0.0007922,0.0007922
63,291.158,1.83032,1.28963,1.08541,0.47424,0.62295,0.39639,0.08561,2.91079,1.6826,1.91717,0.0007724,0.0007724,0.0007724
64,295.671,1.76964,1.24304,1.09006,0.45753,0.58765,0.38281,0.09288,2.79598,1.62875,1.72407,0.0007526,0.0007526,0.0007526
65,300.223,1.81695,1.29146,1.09085,0.45562,0.57377,0.36578,0.10052,2.75361,1.62545,1.76436,0.0007328,0.0007328,0.0007328
66,304.819,1.70957,1.26153,1.06051,0.45617,0.58197,0.40129,0.09927,2.81478,1.52536,1.82937,0.000713,0.000713,0.000713
